stara_oznaka,pravilno_ime
001,001 - LK Muta
002,002 - LK Maribor
011,011 - LK Šenčur
015,015 - LS Škofja Loka
046,046 - LK Dolenjske Toplice
063,063 - LK DLL Potens
065,065 - DL Lucky Art
067,067 - LK Budanje
069,069 - LK Taborska jama
071,071 - LD ISHI
073,073 - TKD Sovica
075,075 - Društvo Šentlok
078,078 - LD Palček Bled
079,079 - ŠD Čelešnk
S03,001 - LK Muta
66,066 - LK Paradoks
1,001 - LK Muta
2,002 - LK Maribor
5,005 - LK Kamnik
6,006 - LK MINS Postojna
7,007 - LK Ankaran
8,008 - LK Gornji Grad
11,011 - LK Šenčur
14,014 - LK Gorica
15,015 - LS Škofja Loka
22,022 - LK Ilirska Bistrica
28,028 - GLK Tržič
46,046 - LK Dolenjske Toplice
51,051 - LK Turjak
52,052 - DLLL Snežniška Diana
53,053 - ŠD VLR Vilijem
58,058 - LD Logatec
63,063 - LK DLL Potens
65,065 - DL Lucky Art
67,067 - LK Budanje
68,068 - LK Lendava
69,069 - LK Taborska jama
71,071 - LD ISHI
73,073 - TKD Sovica
74,074 - DL Eisnern
75,075 - Društvo Šentlok
76,076 - LK Hmeljček
78,078 - LD Palček Bled
79,079 - ŠD Čelešnk
80,080 - LK Apolon
