
Ukrivljeni lok – Mlajše od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Mišica Hana,066 - LK Paradoks,228/25,236/20,253/20,207/25,924/90
2,Hribernik Urška,066 - LK Paradoks,195/20,252/25,255/25,,702/70
3,Vidmar Anja,067 - LK Budanje,,,225/15,,225/15

Ukrivljeni lok – Mlajši od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Milharčič Andrej,006 - LK MINS Postojna,341/25,,341/25,348/25,1030/75
2,Širaj Nik,052 - DLLL Snežniška Diana,315/20,,321/20,286/20,922/60
3,Hercog Aleksander,075 - Društvo Šentlok,,,,260/15,260/15
4,Malc Matevž,006 - LK MINS Postojna,,,,244/12,244/12
5,Guček Luka,075 - Društvo Šentlok,,,,134/11,134/11

Ukrivljeni lok – Mlajše od 15 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Košele Alina,066 - LK Paradoks,309/25,309/25,320/25,295/20,1233/95
2,Malc Julija,006 - LK MINS Postojna,269/20,273/20,272/20,319/25,1133/85

Ukrivljeni lok – Mlajši od 15 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Grabrijan Štefanc Liam,066 - LK Paradoks,307/25,308/12,317/20,291/15,1223/72
2,Črnigoj Tomaž,067 - LK Budanje,,323/20,333/25,,656/45
3,Berden Aleks,075 - Društvo Šentlok,,309/15,,320/25,629/40
4,Malerič Jaka,066 - LK Paradoks,,,309/15,298/20,607/35
5,Koprivnikar Erik,002 - LK Maribor,,324/25,,,324/25

Ukrivljeni lok – Mlajše od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Marič Hema,028 - GLK Tržič,235/20,202/20,176/20,190/20,803/80
2,Vidmar Teja,067 - LK Budanje,337/25,,300/25,,637/50
3,Grudnik Meta,008 - LK Gornji Grad,,244/25,,,244/25
4,Grbec Sara Andrea,075 - Društvo Šentlok,,,,219/25,219/25

Ukrivljeni lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Dukovčič Vito,066 - LK Paradoks,266/20,258/25,261/20,,785/65
2,Švegel Žan,028 - GLK Tržič,266/15,,304/25,,570/40
3,Vrbec Samo,005 - LK Kamnik,362/25,,,,362/25
4,Dolgan Liam,067 - LK Budanje,,250/20,,,250/20
5,Žeželj Jernej,073 - TKD Sovica,,,256/15,,256/15
6,Mlinar Patrik,011 - LK Šenčur,228/12,,,,228/12
7,Kraševec Boris,052 - DLLL Snežniška Diana,180/11,,,,180/11

Ukrivljeni lok – Mlajše od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Vuilova Kristina,063 - LK DLL Potens,284/25,,260/25,,544/50

Ukrivljeni lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Pavlin Simon,011 - LK Šenčur,294/25,310/25,319/25,292/25,1215/100
2,Vardič Branko,066 - LK Paradoks,283/20,269/20,261/12,287/20,1100/72
3,Natlačen Stanislav,006 - LK MINS Postojna,259/11,,280/20,241/11,780/42
4,Miklavčič Moreno,006 - LK MINS Postojna,264/12,222/15,,247/12,733/39
5,Jevšenak Tomaž,011 - LK Šenčur,,195/12,223/11,230/10,648/33
6,Kuster Benjamin,002 - LK Maribor,267/15,,266/15,,533/30
7,Rosa Vladimir,075 - Društvo Šentlok,,,,262/15,262/15

Sestavljeni lok – Članice
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Petrovčič Martina,053 - ŠD VLR Vilijem,358/25,357/25,363/25,336/25,1414/100
2,Dornik Urša,002 - LK Maribor,269/20,308/15,300/20,311/20,1188/75
3,Salyayeva Vladlena,008 - LK Gornji Grad,,316/20,,,316/20
4,Križe Barbra Pia,046 - LK Dolenjske Toplice,,131/12,,,131/12

Sestavljeni lok – Člani
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Petrovčič Jan,053 - ŠD VLR Vilijem,348/25,351/12,360/20,341/12,1400/69
2,Demšar Urh,074 - DL Eisnern,336/20,338/11,,304/9,978/40
3,Rožič Matija,005 - LK Kamnik,,375/20,,377/20,752/40
4,Rožič Miha,005 - LK Kamnik,,354/15,,380/25,734/40
5,Zorjan Matjaž,001 - LK Muta,,,364/25,364/15,728/40
6,Jevšnik Tim,008 - LK Gornji Grad,,401/25,,,401/25
7,Taškar Matej,022 - LK Ilirska Bistrica,,313/10,,339/11,652/21
8,Zalar Toni,073 - TKD Sovica,278/15,,,,278/15
9,Luršak Boštjan,001 - LK Muta,,,,319/10,319/10

Sestavljeni lok – Mlajši od 15 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Vidmar Jakob,074 - DL Eisnern,331/25,352/25,344/25,,1027/75

Sestavljeni lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Praprotnik Bezjak Urban,028 - GLK Tržič,357/20,,372/25,,729/45
2,Komidar Tilen,052 - DLLL Snežniška Diana,271/15,,,301/25,572/40
3,Anže Pungartnik,052 - DLLL Snežniška Diana,358/25,,,,358/25
4,Turk Josić Lukas,052 - DLLL Snežniška Diana,268/12,,,,268/12

Sestavljeni lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Imperl Bojan,002 - LK Maribor,366/25,370/25,,368/25,1104/75
2,Poljanec Ivan,067 - LK Budanje,328/11,348/15,360/25,337/12,1373/63
3,Fišer Marjan,002 - LK Maribor,343/15,347/12,349/20,345/15,1384/62
4,Dornik Boštjan,002 - LK Maribor,264/10,281/10,280/12,266/9,1091/41
5,Kostanjevec Roman,053 - ŠD VLR Vilijem,366/20,362/20,,,728/40
6,Sešel Maksim,002 - LK Maribor,,,349/15,328/11,677/26
7,Petrič Marko,007 - LK Ankaran,334/12,320/11,,,654/23
8,Menart Renato,058 - LD Logatec,,,,361/20,361/20
9,Štuhec Bojan,075 - Društvo Šentlok,,,,325/10,325/10

Goli lok – Članice
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Zorman Petra,006 - LK MINS Postojna,274/25,,240/25,220/25,734/75
2,Dolinar Katarina,006 - LK MINS Postojna,216/20,195/20,232/20,168/15,811/75
3,Kunej Branka,075 - Društvo Šentlok,,228/25,211/15,212/20,651/60
4,Frank Živa,053 - ŠD VLR Vilijem,,175/15,,,175/15
5,Prosen Ksenija,006 - LK MINS Postojna,,128/0,105/0,,233/0

Goli lok – Člani
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Resnik Andrej,005 - LK Kamnik,313/15,308/25,331/25,311/25,1263/90
2,Štepic Brane,011 - LK Šenčur,273/12,227/15,221/15,237/15,958/57
3,Kelvišar Klemen,053 - ŠD VLR Vilijem,329/25,,321/20,,650/45
4,Furman Gašper,011 - LK Šenčur,,242/20,,246/20,488/40
5,Duša Primož,006 - LK MINS Postojna,217/10,214/12,,235/12,666/34
6,Ribič Klemen,006 - LK MINS Postojna,,177/11,131/12,,308/23
7,Vrbec Andrej,065 - DL Lucky Art,318/20,,,,318/20
8,Zadravec Miha,002 - LK Maribor,272/11,,,,272/11

Goli lok – Mlajše od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Duša Laura,006 - LK MINS Postojna,269/25,242/20,,277/25,788/70
2,Kodele Meta,067 - LK Budanje,260/20,,287/25,238/20,785/65
3,Ribič Sofija,006 - LK MINS Postojna,231/15,245/25,285/20,,761/60
4,Koprivc Prosen Amanda,006 - LK MINS Postojna,,167/15,230/15,235/15,632/45
5,Jurkošek Iva,075 - Društvo Šentlok,,,,161/12,161/12

Goli lok – Mlajši od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Kočevar Patrik,073 - TKD Sovica,249/25,283/25,262/25,251/25,1045/100
2,Pšeničnik Martin,011 - LK Šenčur,162/12,199/20,237/20,,598/52
3,Ferjančič Mark,067 - LK Budanje,174/15,169/15,146/15,,489/45
4,Lesar Luka,052 - DLLL Snežniška Diana,232/20,,,,232/20
5,Thaler Matej,074 - DL Eisnern,,,131/12,,131/12
6,Zorko Vito,011 - LK Šenčur,,126/0,116/0,111/0,353/0

Goli lok – Mlajše od 15 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Zalar Beti,073 - TKD Sovica,298/20,273/25,253/15,249/20,1073/80
2,Kodele Tina,067 - LK Budanje,303/25,,289/25,273/25,865/75
3,Samec Elizabeta,067 - LK Budanje,,256/20,260/20,245/12,761/52
4,Miklavcic Klara,006 - LK MINS Postojna,268/15,183/15,,248/15,699/45
5,Lesar Klara,052 - DLLL Snežniška Diana,209/12,,,,209/12
6,Aralica Božič Tinkara,006 - LK MINS Postojna,139/11,,,115/0,254/11

Goli lok – Mlajši od 15 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Lotrič Nace,074 - DL Eisnern,164/25,165/25,162/25,,491/75
2,Bohar Uroš,075 - Društvo Šentlok,,,,154/25,154/25
3,Birsa Ciril,075 - Društvo Šentlok,,,,145/20,145/20

Goli lok – Mlajše od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Karidi Veronika,067 - LK Budanje,,,248/25,227/25,475/50
2,Rupar Špela,006 - LK MINS Postojna,182/20,,,213/20,395/40
3,Rihtaršič Hana,074 - DL Eisnern,131/15,151/25,116/0,,398/40
4,Brejc Alja,028 - GLK Tržič,191/25,,,,191/25
5,Frank Živa,053 - ŠD VLR Vilijem,,,240/20,,240/20
6,Skale Lara,075 - Društvo Šentlok,,,,166/15,166/15
7,Verk Lucija,075 - Društvo Šentlok,,,,152/12,152/12
8,Gorc Katja,051 - LK Turjak,,,107/0,,107/0
9,Fidler Ajda,075 - Društvo Šentlok,,,,123/0,123/0
10,Furman Elizabeta,011 - LK Šenčur,,,,108/0,108/0
11,Hotko Anis,075 - Društvo Šentlok,,,,98/0,98/0

Goli lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Krašovc Jan,076 - LK Hmeljček,250/15,253/25,269/25,269/25,1041/90
2,Turk Jernej,046 - LK Dolenjske Toplice,290/25,248/15,216/20,192/20,946/80
3,Novak Erazem,011 - LK Šenčur,256/20,250/20,181/15,,687/55
4,Pirc Mark,063 - LK DLL Potens,195/12,164/11,160/11,167/15,686/49
5,Grudnik Vid,008 - LK Gornji Grad,,217/12,,,217/12
6,Gorc David,051 - LK Turjak,,,170/12,,170/12
7,Butala Maj,062 - LD Legende Kolpe,183/11,,,,183/11

Goli lok – Mlajše od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Colnarič Anamarija,028 - GLK Tržič,192/20,149/25,184/20,193/20,718/85
2,Černe Rebeka,046 - LK Dolenjske Toplice,229/25,,215/25,215/25,659/75
3,Pirc Jevšenak Maja,011 - LK Šenčur,,113/0,,120/0,233/0
4,Šega Maruša,062 - LD Legende Kolpe,,,,89/0,89/0

Goli lok – Mlajši od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Obreza Škerjanec Timotej,006 - LK MINS Postojna,317/25,321/25,326/25,322/25,1286/100
2,Lah Roy,076 - LK Hmeljček,233/20,257/20,,,490/40

Goli lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Milharčič Robert,006 - LK MINS Postojna,274/25,,313/25,287/25,874/75
2,Gugunović Braco,006 - LK MINS Postojna,266/20,231/12,273/20,271/20,1041/72
3,Močnik Dušan,011 - LK Šenčur,244/12,277/25,256/12,256/12,1033/61
4,Štilec Igor,011 - LK Šenčur,230/11,249/15,262/15,,741/41
5,Šivec Vladislav,073 - TKD Sovica,228/10,,217/10,,445/20
6,Zadravec Miha,002 - LK Maribor,,262/20,,,262/20
7,Kupljen Silvo,053 - ŠD VLR Vilijem,254/15,,,,254/15
8,Krivec Nenad,075 - Društvo Šentlok,,,,265/15,265/15
9,Grudnik Jernej,008 - LK Gornji Grad,,224/11,,,224/11
10,Trdan Matjaz,053 - ŠD VLR Vilijem,,,241/11,,241/11
11,Operčkal Stanislav,075 - Društvo Šentlok,,,,255/11,255/11
12,Komidar Nikolaj,052 - DLLL Snežniška Diana,,,,227/10,227/10
13,Klement Herman,068 - LK Lendava,,,,211/9,211/9
14,Kunej Samo,075 - Društvo Šentlok,,,,179/8,179/8
15,Hippe Karl-heinz,008 - LK Gornji Grad,,55/0,,,55/0

Tradicionalni lok – Članice
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Pavačič Mojca,071 - LD ISHI Vodice,,,253/25,284/25,537/50
2,Milharčič Jana,006 - LK MINS Postojna,225/25,,,,225/25
3,Duša Renata,006 - LK MINS Postojna,,,,157/20,157/20

Tradicionalni lok – Člani
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Aralica Simon,006 - LK MINS Postojna,263/25,265/20,278/25,268/25,1074/95
2,Savičić Željko,053 - ŠD VLR Vilijem,213/20,,214/20,249/15,676/55
3,Husar Dominik,068 - LK Lendava,,281/25,,253/20,534/45
4,Pavačič Aleksandar,071 - LD ISHI Vodice,,,195/15,224/12,419/27
5,Koritnik Vid,071 - LD ISHI Vodice,,,63/0,,63/0

Tradicionalni lok – Mlajši od 13 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Demšar Martin,074 - DL Eisnern,99/0,89/0,,114/0,302/0
2,Gugunović Irenej,006 - LK MINS Postojna,,,119/0,,119/0

Tradicionalni lok – Mlajše od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Habjan Kleja,074 - DL Eisnern,136/25,,153/25,,289/50

Tradicionalni lok – Mlajši od 18 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Simčič Brus Tilen,006 - LK MINS Postojna,181/25,188/25,,189/25,558/75

Tradicionalni lok – Mlajše od 21 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Rihtaršič Neja,074 - DL Eisnern,60/0,,,,60/0

Tradicionalni lok – Starejši od 50 let
Mesto,Tekmovalec,Klub,Kozarišče<br>19.4.2025,Gornji Grad<br>17.5.2025,Sveta Trojica nad Vrhniko<br>22.6.2025,Šentjur<br>12.7.2025,Skupaj
1,Pezo Miran,051 - LK Turjak,249/25,,249/25,,498/50
2,Manenica Mate Bojan,006 - LK MINS Postojna,,,223/20,180/25,403/45
3,Leben Janko,075 - Društvo Šentlok,,,,92/0,92/0
