Upoštevane tekme
Gornji Grad<br>17.5.2025
Kozarišče<br>19.4.2025
Sveta Trojica nad Vrhniko<br>22.6.2025
Šentjur<br>12.7.2025

Povzetek po klubih
Uvrstitev,Klub,Število tekmovalcev,Krogi,Točke
1,006 - LK MINS Postojna,26,16580,1313
2,067 - LK Budanje,11,7411,541
3,066 - LK Paradoks,9,7204,534
4,053 - ŠD VLR Vilijem,14,7204,506
5,011 - LK Šenčur,12,7290,451
6,075 - Društvo Šentlok,23,5651,402
7,002 - LK Maribor,10,7159,377
8,028 - GLK Tržič,7,3822,356
9,074 - DL Eisnern,12,4365,339
10,005 - LK Kamnik,8,4476,280
11,073 - TKD Sovica,5,3097,230
12,052 - DLLL Snežniška Diana,9,3153,205
13,046 - LK Dolenjske Toplice,3,1736,167
14,063 - LK DLL Potens,4,2002,164
15,079 - ŠD Čelešnk,3,1840,144
16,076 - LK Hmeljček,2,1531,130
17,008 - LK Gornji Grad,7,1724,118
18,051 - LK Turjak,4,1457,117
19,001 - LK Muta,3,1702,100
20,071 - LD ISHI Vodice,3,1019,77
21,007 - LK Ankaran,3,1352,68
22,068 - LK Lendava,3,964,66
23,048 - LS Ljutomer,1,180,25
24,022 - LK Ilirska Bistrica,1,652,21
25,058 - LD Logatec,1,361,20
26,065 - DL Lucky Art,1,318,20
27,062 - LD Legende Kolpe,2,272,11
