Upoštevane tekme
Ajdovščina<br>16.11.2025
Postojna<br>6.12.2025
Kamnik<br>14.12.2025
Lendava<br>20.12.2025
Ilirska Bistrica<br>10.1.2026
Rakek<br>25.1.2026
Šenčur<br>7.2.2026

Povzetek po klubih
Uvrstitev,Klub,Število tekmovalcev,Krogi,Točke
1,006 - LK MINS Postojna,37,68253,2478
2,067 - LK Budanje,25,46454,1717
3,011 - LK Šenčur,32,44377,1360
4,028 - GLK Tržič,21,36585,1356
5,007 - LK Ankaran,26,44292,1282
6,005 - LK Kamnik,23,32528,1047
7,075 - Društvo Šentlok,18,34023,983
8,066 - LK Paradoks,13,24200,914
9,073 - TKD Sovica,22,23951,905
10,052 - DLLL Snežniška Diana,14,25705,879
11,068 - LK Lendava,15,22204,774
12,053 - ŠD VLR Vilijem,13,20766,761
13,046 - LK Dolenjske Toplice,12,20901,727
14,058 - LD Logatec,13,18830,655
15,014 - LK Gorica,12,22268,539
16,051 - LK Turjak,8,13956,530
17,015 - LS Škofja Loka,9,15119,481
18,022 - LK Ilirska Bistrica,8,15645,476
19,002 - LK Maribor,15,16867,450
20,063 - LK DLL Potens,8,11256,420
21,001 - LK Muta,15,14226,394
22,080 - LK Apolon,9,13004,361
23,076 - LK Hmeljček,10,12695,340
24,074 - DL Eisnern,10,9716,315
25,008 - LK Gornji Grad,6,7873,229
26,049 - DL Dravograd,7,5241,182
27,079 - ŠD Čelešnk,6,6242,172
28,065 - DL Lucky Art,4,4321,111
29,048 - LS Ljutomer,2,1420,56
30,069 - LK Taborska jama,2,915,40
31,071 - LD ISHI,1,443,12
32,077 - LK Ljubljana,1,478,10
33,062 - LD Legende Kolpe,1,124,0
